Income,Property,Amount,Budget,Category,Date,Monthly Overview,Type
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"August 27, 2024",August 24 (https://app.notion.com/p/August-24-e7a234e3dd654ea6abe42c7c1413082e?pvs=21),⌚เงินรายชั่วโมง_AUG24 (https://app.notion.com/p/_AUG24-9d906679b5554473987687c747070f51?pvs=21)
DF cost,Yes,THB 420.00,THB 420.00,On duty,"August 27, 2024",August 24 (https://app.notion.com/p/August-24-e7a234e3dd654ea6abe42c7c1413082e?pvs=21),🤷‍♂️เงิน DF_AUG24 (https://app.notion.com/p/DF_AUG24-ed383e2091174c9393da9a3b46a139cb?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"August 29, 2024",August 24 (https://app.notion.com/p/August-24-e7a234e3dd654ea6abe42c7c1413082e?pvs=21),⌚เงินรายชั่วโมง_AUG24 (https://app.notion.com/p/_AUG24-9d906679b5554473987687c747070f51?pvs=21)
DF cost,Yes,THB 510.00,THB 480.00,On duty,"August 29, 2024",August 24 (https://app.notion.com/p/August-24-e7a234e3dd654ea6abe42c7c1413082e?pvs=21),🤷‍♂️เงิน DF_AUG24 (https://app.notion.com/p/DF_AUG24-ed383e2091174c9393da9a3b46a139cb?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"September 2, 2024",September 24 (https://app.notion.com/p/September-24-2acf86f7c3554a70b26f5e740fab86b1?pvs=21),⌚เงินรายชั่วโมง_SEP24 (https://app.notion.com/p/_SEP24-8003104410384f0c95fc1f45073d812a?pvs=21)
DF cost,Yes,THB 600.00,THB 600.00,On duty,"September 2, 2024",September 24 (https://app.notion.com/p/September-24-2acf86f7c3554a70b26f5e740fab86b1?pvs=21),🤷‍♂️เงิน DF_SEP23 (https://app.notion.com/p/DF_SEP23-c4e3dc33943c48879c50f3991a158b2e?pvs=21)
ซื้อ OPD นอกเวลา 8ชั่วโมง,Yes,"THB 2,500.00","THB 2,500.00",Top up,"September 4, 2024",September 24 (https://app.notion.com/p/September-24-2acf86f7c3554a70b26f5e740fab86b1?pvs=21),👍🏼เงิน top up_SEP24 (https://app.notion.com/p/top-up_SEP24-decb0f1384fa4244a68cc16c756b84db?pvs=21)
Hour cost,Yes,"THB 1,200.00","THB 1,200.00",On duty,"September 4, 2024",September 24 (https://app.notion.com/p/September-24-2acf86f7c3554a70b26f5e740fab86b1?pvs=21),⌚เงินรายชั่วโมง_SEP24 (https://app.notion.com/p/_SEP24-8003104410384f0c95fc1f45073d812a?pvs=21)
DF cost,Yes,THB 600.00,THB 660.00,On duty,"September 4, 2024",September 24 (https://app.notion.com/p/September-24-2acf86f7c3554a70b26f5e740fab86b1?pvs=21),🤷‍♂️เงิน DF_SEP23 (https://app.notion.com/p/DF_SEP23-c4e3dc33943c48879c50f3991a158b2e?pvs=21)
Hour cost,Yes,"THB 1,200.00","THB 1,200.00",On duty,"September 7, 2024",September 24 (https://app.notion.com/p/September-24-2acf86f7c3554a70b26f5e740fab86b1?pvs=21),⌚เงินรายชั่วโมง_SEP24 (https://app.notion.com/p/_SEP24-8003104410384f0c95fc1f45073d812a?pvs=21)
DF cost,Yes,THB 840.00,THB 840.00,On duty,"September 7, 2024",September 24 (https://app.notion.com/p/September-24-2acf86f7c3554a70b26f5e740fab86b1?pvs=21),🤷‍♂️เงิน DF_SEP23 (https://app.notion.com/p/DF_SEP23-c4e3dc33943c48879c50f3991a158b2e?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"September 9, 2024",September 24 (https://app.notion.com/p/September-24-2acf86f7c3554a70b26f5e740fab86b1?pvs=21),⌚เงินรายชั่วโมง_SEP24 (https://app.notion.com/p/_SEP24-8003104410384f0c95fc1f45073d812a?pvs=21)
DF cost,Yes,THB 630.00,THB 630.00,On duty,"September 9, 2024",September 24 (https://app.notion.com/p/September-24-2acf86f7c3554a70b26f5e740fab86b1?pvs=21),🤷‍♂️เงิน DF_SEP23 (https://app.notion.com/p/DF_SEP23-c4e3dc33943c48879c50f3991a158b2e?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"September 16, 2024",September 24 (https://app.notion.com/p/September-24-2acf86f7c3554a70b26f5e740fab86b1?pvs=21),⌚เงินรายชั่วโมง_SEP24 (https://app.notion.com/p/_SEP24-8003104410384f0c95fc1f45073d812a?pvs=21)
DF cost,Yes,THB 540.00,THB 540.00,On duty,"September 16, 2024",September 24 (https://app.notion.com/p/September-24-2acf86f7c3554a70b26f5e740fab86b1?pvs=21),🤷‍♂️เงิน DF_SEP23 (https://app.notion.com/p/DF_SEP23-c4e3dc33943c48879c50f3991a158b2e?pvs=21)
เวรเหมา 1หมื่น,Yes,"THB 10,000.00","THB 10,000.00",On duty,"September 20, 2024",September 24 (https://app.notion.com/p/September-24-2acf86f7c3554a70b26f5e740fab86b1?pvs=21),👝เงินเวรเหมา_SEP24 (https://app.notion.com/p/_SEP24-a173f6abdd2d4a53ada4c60b6ee453f8?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"September 23, 2024",September 24 (https://app.notion.com/p/September-24-2acf86f7c3554a70b26f5e740fab86b1?pvs=21),⌚เงินรายชั่วโมง_SEP24 (https://app.notion.com/p/_SEP24-8003104410384f0c95fc1f45073d812a?pvs=21)
DF cost,Yes,THB 800.00,THB 800.00,On duty,"September 23, 2024",September 24 (https://app.notion.com/p/September-24-2acf86f7c3554a70b26f5e740fab86b1?pvs=21),🤷‍♂️เงิน DF_SEP23 (https://app.notion.com/p/DF_SEP23-c4e3dc33943c48879c50f3991a158b2e?pvs=21)
เงินเดือน,Yes,"THB 22,830.00","THB 22,830.00",Salary,"September 26, 2024",September 24 (https://app.notion.com/p/September-24-2acf86f7c3554a70b26f5e740fab86b1?pvs=21),🏧เงินเดือนจาก สสจ._SEP24 (https://app.notion.com/p/_SEP24-fd0729ba495d46798fbdd5b562ea65d7?pvs=21)
ซื้อไผ่ล้อม,Yes,THB 300.00,THB 300.00,Top up,"September 27, 2024",September 24 (https://app.notion.com/p/September-24-2acf86f7c3554a70b26f5e740fab86b1?pvs=21),👍🏼เงิน top up_SEP24 (https://app.notion.com/p/top-up_SEP24-decb0f1384fa4244a68cc16c756b84db?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"September 27, 2024",September 24 (https://app.notion.com/p/September-24-2acf86f7c3554a70b26f5e740fab86b1?pvs=21),⌚เงินรายชั่วโมง_SEP24 (https://app.notion.com/p/_SEP24-8003104410384f0c95fc1f45073d812a?pvs=21)
DF cost,Yes,THB 360.00,THB 360.00,On duty,"September 27, 2024",September 24 (https://app.notion.com/p/September-24-2acf86f7c3554a70b26f5e740fab86b1?pvs=21),🤷‍♂️เงิน DF_SEP23 (https://app.notion.com/p/DF_SEP23-c4e3dc33943c48879c50f3991a158b2e?pvs=21)
ซื้อ TTCM,Yes,THB 990.00,"THB 1,000.00",On duty,"October 13, 2024",October 24 (https://app.notion.com/p/October-24-7b27bbe68af04055a4f2277bec8a90be?pvs=21),💉TTCM_OCT24 (https://app.notion.com/p/TTCM_OCT24-7dbebd718313417595318ebb69aaf404?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"September 30, 2024",September 24 (https://app.notion.com/p/September-24-2acf86f7c3554a70b26f5e740fab86b1?pvs=21),⌚เงินรายชั่วโมง_SEP24 (https://app.notion.com/p/_SEP24-8003104410384f0c95fc1f45073d812a?pvs=21)
DF cost,Yes,THB 890.00,THB 890.00,On duty,"September 30, 2024",September 24 (https://app.notion.com/p/September-24-2acf86f7c3554a70b26f5e740fab86b1?pvs=21),🤷‍♂️เงิน DF_SEP23 (https://app.notion.com/p/DF_SEP23-c4e3dc33943c48879c50f3991a158b2e?pvs=21)
ซื้อ TTCM,Yes,THB 990.00,"THB 1,000.00",On duty,"October 5, 2024",October 24 (https://app.notion.com/p/October-24-7b27bbe68af04055a4f2277bec8a90be?pvs=21),💉TTCM_OCT24 (https://app.notion.com/p/TTCM_OCT24-7dbebd718313417595318ebb69aaf404?pvs=21)
DF cost,Yes,THB 450.00,THB 450.00,On duty,"October 8, 2024",October 24 (https://app.notion.com/p/October-24-7b27bbe68af04055a4f2277bec8a90be?pvs=21),🤷‍♂️เงิน DF_OCT24 (https://app.notion.com/p/DF_OCT24-0a1dbadbf76b4ee3acbc456625f8bfb5?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"October 8, 2024",October 24 (https://app.notion.com/p/October-24-7b27bbe68af04055a4f2277bec8a90be?pvs=21),⌚เงินรายชั่วโมง_OCT24 (https://app.notion.com/p/_OCT24-008c97001b564cf3aef8a82eca248c6c?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"October 17, 2024",October 24 (https://app.notion.com/p/October-24-7b27bbe68af04055a4f2277bec8a90be?pvs=21),⌚เงินรายชั่วโมง_OCT24 (https://app.notion.com/p/_OCT24-008c97001b564cf3aef8a82eca248c6c?pvs=21)
DF cost,Yes,THB 300.00,THB 300.00,On duty,"October 17, 2024",October 24 (https://app.notion.com/p/October-24-7b27bbe68af04055a4f2277bec8a90be?pvs=21),🤷‍♂️เงิน DF_OCT24 (https://app.notion.com/p/DF_OCT24-0a1dbadbf76b4ee3acbc456625f8bfb5?pvs=21)
เวรเหมา 1หมื่น,Yes,"THB 10,000.00","THB 10,000.00",On duty,"October 20, 2024",October 24 (https://app.notion.com/p/October-24-7b27bbe68af04055a4f2277bec8a90be?pvs=21),👝เงินเวรเหมา_OCT24 (https://app.notion.com/p/_OCT24-fd130f06477a4519ab4ee3d597b18941?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"October 21, 2024",October 24 (https://app.notion.com/p/October-24-7b27bbe68af04055a4f2277bec8a90be?pvs=21),⌚เงินรายชั่วโมง_OCT24 (https://app.notion.com/p/_OCT24-008c97001b564cf3aef8a82eca248c6c?pvs=21)
DF cost,Yes,THB 390.00,THB 430.00,On duty,"October 21, 2024",October 24 (https://app.notion.com/p/October-24-7b27bbe68af04055a4f2277bec8a90be?pvs=21),🤷‍♂️เงิน DF_OCT24 (https://app.notion.com/p/DF_OCT24-0a1dbadbf76b4ee3acbc456625f8bfb5?pvs=21)
เงินเดือน,Yes,"THB 22,830.00","THB 22,830.00",Salary,"October 26, 2024",October 24 (https://app.notion.com/p/October-24-7b27bbe68af04055a4f2277bec8a90be?pvs=21),🏧เงินเดือนจาก สสจ._OCT24 (https://app.notion.com/p/_OCT24-5779c006a3e445b4a50ce16a50ae68da?pvs=21)
ค่าเสี่ยงภัย,Yes,"THB 69,562.50","THB 69,562.50",Extra,"October 24, 2024",October 24 (https://app.notion.com/p/October-24-7b27bbe68af04055a4f2277bec8a90be?pvs=21),👍🏼เงิน top up_OCT24 (https://app.notion.com/p/top-up_OCT24-44448ecbb8b641e5ac191beaa445d17d?pvs=21)
ซื้อ TTCM,Yes,THB 990.00,"THB 1,000.00",On duty,"November 2, 2024",November 24 (https://app.notion.com/p/November-24-7790540498364ce4ac20fa0ec6bea9f7?pvs=21),💉TTCM_NOV24 (https://app.notion.com/p/TTCM_NOV24-8ec91adaf7b64bf3839b56909dac27ce?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,000.00","THB 1,000.00",Top up,"November 21, 2024",November 24 (https://app.notion.com/p/November-24-7790540498364ce4ac20fa0ec6bea9f7?pvs=21),👍🏼เงิน top up_NOV24 (https://app.notion.com/p/top-up_NOV24-938fcc99a8cc4707905e752d0262b0fa?pvs=21)
ซื้อ ปกส. นอกเวลา 8ชั่วโมง,Yes,"THB 2,000.00","THB 2,000.00",Top up,"November 24, 2024",November 24 (https://app.notion.com/p/November-24-7790540498364ce4ac20fa0ec6bea9f7?pvs=21),👍🏼เงิน top up_NOV24 (https://app.notion.com/p/top-up_NOV24-938fcc99a8cc4707905e752d0262b0fa?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"November 4, 2024",November 24 (https://app.notion.com/p/November-24-7790540498364ce4ac20fa0ec6bea9f7?pvs=21),⌚เงินรายชั่วโมง_NOV24 (https://app.notion.com/p/_NOV24-6288ff78519c48a8b5be8bc8600766e8?pvs=21)
DF cost,Yes,THB 300.00,THB 270.00,On duty,"November 4, 2024",November 24 (https://app.notion.com/p/November-24-7790540498364ce4ac20fa0ec6bea9f7?pvs=21),🤷‍♂️เงิน DF_NOV24 (https://app.notion.com/p/DF_NOV24-5356aae424f94a4da9bda1429df1330c?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"November 11, 2024",November 24 (https://app.notion.com/p/November-24-7790540498364ce4ac20fa0ec6bea9f7?pvs=21),⌚เงินรายชั่วโมง_NOV24 (https://app.notion.com/p/_NOV24-6288ff78519c48a8b5be8bc8600766e8?pvs=21)
DF cost,Yes,THB 360.00,THB 360.00,On duty,"November 11, 2024",November 24 (https://app.notion.com/p/November-24-7790540498364ce4ac20fa0ec6bea9f7?pvs=21),🤷‍♂️เงิน DF_NOV24 (https://app.notion.com/p/DF_NOV24-5356aae424f94a4da9bda1429df1330c?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"November 14, 2024",November 24 (https://app.notion.com/p/November-24-7790540498364ce4ac20fa0ec6bea9f7?pvs=21),⌚เงินรายชั่วโมง_NOV24 (https://app.notion.com/p/_NOV24-6288ff78519c48a8b5be8bc8600766e8?pvs=21)
DF cost,Yes,THB 420.00,THB 420.00,On duty,"November 14, 2024",November 24 (https://app.notion.com/p/November-24-7790540498364ce4ac20fa0ec6bea9f7?pvs=21),🤷‍♂️เงิน DF_NOV24 (https://app.notion.com/p/DF_NOV24-5356aae424f94a4da9bda1429df1330c?pvs=21)
เวรเหมา 1หมื่น,Yes,"THB 10,000.00","THB 10,000.00",On duty,"November 20, 2024",November 24 (https://app.notion.com/p/November-24-7790540498364ce4ac20fa0ec6bea9f7?pvs=21),👝เงินเวรเหมา_NOV24 (https://app.notion.com/p/_NOV24-b7c9810926b64caeb41390f5e9f5e94b?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"November 21, 2024",November 24 (https://app.notion.com/p/November-24-7790540498364ce4ac20fa0ec6bea9f7?pvs=21),⌚เงินรายชั่วโมง_NOV24 (https://app.notion.com/p/_NOV24-6288ff78519c48a8b5be8bc8600766e8?pvs=21)
DF cost,Yes,THB 520.00,THB 420.00,On duty,"November 21, 2024",November 24 (https://app.notion.com/p/November-24-7790540498364ce4ac20fa0ec6bea9f7?pvs=21),🤷‍♂️เงิน DF_NOV24 (https://app.notion.com/p/DF_NOV24-5356aae424f94a4da9bda1429df1330c?pvs=21)
Hour cost,Yes,"THB 1,200.00","THB 1,200.00",On duty,"November 24, 2024",November 24 (https://app.notion.com/p/November-24-7790540498364ce4ac20fa0ec6bea9f7?pvs=21),⌚เงินรายชั่วโมง_NOV24 (https://app.notion.com/p/_NOV24-6288ff78519c48a8b5be8bc8600766e8?pvs=21)
DF cost,Yes,THB 600.00,THB 600.00,On duty,"November 24, 2024",November 24 (https://app.notion.com/p/November-24-7790540498364ce4ac20fa0ec6bea9f7?pvs=21),🤷‍♂️เงิน DF_NOV24 (https://app.notion.com/p/DF_NOV24-5356aae424f94a4da9bda1429df1330c?pvs=21)
เงินเดือน,Yes,"THB 22,830.00","THB 22,830.00",Salary,"November 26, 2024",November 24 (https://app.notion.com/p/November-24-7790540498364ce4ac20fa0ec6bea9f7?pvs=21),🏧เงินเดือนจาก สสจ._NOV24 (https://app.notion.com/p/_NOV24-c631c2fd07bd45229cff319e68755aa1?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"December 3, 2024",December 24 (https://app.notion.com/p/December-24-465535b269844a8a855716fee9f5d2b3?pvs=21),⌚เงินรายชั่วโมง_DEC24 (https://app.notion.com/p/_DEC24-866f27f6546e4c4789e280953e5df251?pvs=21)
DF cost,Yes,THB 420.00,THB 450.00,On duty,"December 3, 2024",December 24 (https://app.notion.com/p/December-24-465535b269844a8a855716fee9f5d2b3?pvs=21),🤷‍♂️เงิน DF_DEC24 (https://app.notion.com/p/DF_DEC24-9bdfd5db09cf4efc836571d216612e95?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"December 9, 2024",December 24 (https://app.notion.com/p/December-24-465535b269844a8a855716fee9f5d2b3?pvs=21),⌚เงินรายชั่วโมง_DEC24 (https://app.notion.com/p/_DEC24-866f27f6546e4c4789e280953e5df251?pvs=21)
DF cost,Yes,THB 450.00,THB 450.00,On duty,"December 9, 2024",December 24 (https://app.notion.com/p/December-24-465535b269844a8a855716fee9f5d2b3?pvs=21),🤷‍♂️เงิน DF_DEC24 (https://app.notion.com/p/DF_DEC24-9bdfd5db09cf4efc836571d216612e95?pvs=21)
DF cost,Yes,THB 480.00,THB 480.00,On duty,"December 11, 2024",December 24 (https://app.notion.com/p/December-24-465535b269844a8a855716fee9f5d2b3?pvs=21),🤷‍♂️เงิน DF_DEC24 (https://app.notion.com/p/DF_DEC24-9bdfd5db09cf4efc836571d216612e95?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"December 11, 2024",December 24 (https://app.notion.com/p/December-24-465535b269844a8a855716fee9f5d2b3?pvs=21),⌚เงินรายชั่วโมง_DEC24 (https://app.notion.com/p/_DEC24-866f27f6546e4c4789e280953e5df251?pvs=21)
เวรเหมา 1หมื่น,Yes,"THB 10,000.00","THB 10,000.00",On duty,"December 20, 2024",December 24 (https://app.notion.com/p/December-24-465535b269844a8a855716fee9f5d2b3?pvs=21),👝เงินเวรเหมา_DEC24 (https://app.notion.com/p/_DEC24-e1c2e2aefc8b403c90107d43829190e5?pvs=21)
เงินเดือน,Yes,"THB 33,950.00","THB 33,950.00",Salary,"December 26, 2024",December 24 (https://app.notion.com/p/December-24-465535b269844a8a855716fee9f5d2b3?pvs=21),🏧เงินเดือนจาก สสจ._DEC24 (https://app.notion.com/p/_DEC24-22041d8589f64201b931d29d9f0a97be?pvs=21)
ซื้อ OPD นอกเวลา 4ชั่วโมง,Yes,"THB 1,800.00","THB 1,800.00",Top up,"December 31, 2024",December 24 (https://app.notion.com/p/December-24-465535b269844a8a855716fee9f5d2b3?pvs=21),👍🏼เงิน top up_DEC24 (https://app.notion.com/p/top-up_DEC24-d9e76e5b9f4c40f6a6a2b87cae48446c?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"December 31, 2024",December 24 (https://app.notion.com/p/December-24-465535b269844a8a855716fee9f5d2b3?pvs=21),⌚เงินรายชั่วโมง_DEC24 (https://app.notion.com/p/_DEC24-866f27f6546e4c4789e280953e5df251?pvs=21)
DF cost,Yes,THB 420.00,THB 360.00,On duty,"December 31, 2024",December 24 (https://app.notion.com/p/December-24-465535b269844a8a855716fee9f5d2b3?pvs=21),🤷‍♂️เงิน DF_DEC24 (https://app.notion.com/p/DF_DEC24-9bdfd5db09cf4efc836571d216612e95?pvs=21)
ซื้อ TTCM,Yes,THB 990.00,"THB 1,000.00",On duty,"January 25, 2025",January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),💉TTCM_JAN25 (https://app.notion.com/p/TTCM_JAN25-1680423c1426805a8a4aef59ea756866?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,000.00","THB 1,000.00",Top up,"January 2, 2025",January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),👍🏼เงิน top up_JAN25 (https://app.notion.com/p/top-up_JAN25-1680423c142680f9b0f7dba21f1585ef?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,000.00","THB 1,000.00",Top up,"January 8, 2025",January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),👍🏼เงิน top up_JAN25 (https://app.notion.com/p/top-up_JAN25-1680423c142680f9b0f7dba21f1585ef?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"January 2, 2025",January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),⌚เงินรายชั่วโมง_JAN25 (https://app.notion.com/p/_JAN25-1680423c142680189065f9a8b08abb4f?pvs=21)
DF cost,Yes,THB 330.00,THB 330.00,On duty,"January 2, 2025",January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),🤷‍♂️เงิน DF_JAN25 (https://app.notion.com/p/DF_JAN25-1680423c14268074a6b9c3af2aed19aa?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"January 6, 2025",January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),⌚เงินรายชั่วโมง_JAN25 (https://app.notion.com/p/_JAN25-1680423c142680189065f9a8b08abb4f?pvs=21)
DF cost,Yes,THB 690.00,THB 690.00,On duty,"January 6, 2025",January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),🤷‍♂️เงิน DF_JAN25 (https://app.notion.com/p/DF_JAN25-1680423c14268074a6b9c3af2aed19aa?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"January 8, 2025",January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),⌚เงินรายชั่วโมง_JAN25 (https://app.notion.com/p/_JAN25-1680423c142680189065f9a8b08abb4f?pvs=21)
DF cost,Yes,THB 390.00,THB 390.00,On duty,"January 8, 2025",January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),🤷‍♂️เงิน DF_JAN25 (https://app.notion.com/p/DF_JAN25-1680423c14268074a6b9c3af2aed19aa?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"January 9, 2025",January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),⌚เงินรายชั่วโมง_JAN25 (https://app.notion.com/p/_JAN25-1680423c142680189065f9a8b08abb4f?pvs=21)
DF cost,Yes,THB 300.00,THB 300.00,On duty,"January 9, 2025",January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),🤷‍♂️เงิน DF_JAN25 (https://app.notion.com/p/DF_JAN25-1680423c14268074a6b9c3af2aed19aa?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"January 13, 2025",January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),⌚เงินรายชั่วโมง_JAN25 (https://app.notion.com/p/_JAN25-1680423c142680189065f9a8b08abb4f?pvs=21)
DF cost,Yes,THB 780.00,THB 780.00,On duty,"January 13, 2025",January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),🤷‍♂️เงิน DF_JAN25 (https://app.notion.com/p/DF_JAN25-1680423c14268074a6b9c3af2aed19aa?pvs=21)
เวรเหมา 1หมื่น,Yes,"THB 10,000.00","THB 10,000.00",On duty,"January 20, 2025",January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),👝เงินเวรเหมา_JAN25 (https://app.notion.com/p/_JAN25-1680423c14268018941cdbfdbee75b7f?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"January 20, 2025",January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),⌚เงินรายชั่วโมง_JAN25 (https://app.notion.com/p/_JAN25-1680423c142680189065f9a8b08abb4f?pvs=21)
DF cost,Yes,THB 600.00,THB 600.00,On duty,"January 20, 2025",January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),🤷‍♂️เงิน DF_JAN25 (https://app.notion.com/p/DF_JAN25-1680423c14268074a6b9c3af2aed19aa?pvs=21)
เงินเดือน,Yes,"THB 24,220.00","THB 24,220.00",Salary,"January 26, 2025",January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),🏧เงินเดือนจาก สสจ._JAN25 (https://app.notion.com/p/_JAN25-1680423c14268056be81ce203f7512b3?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,000.00","THB 1,000.00",Top up,"February 10, 2025",February 25 (https://app.notion.com/p/February-25-1680423c142680019b92eca39bed27e3?pvs=21),👍🏼เงิน top up_FEB25 (https://app.notion.com/p/top-up_FEB25-1680423c142680f49684cfe8b84d0c8f?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,000.00","THB 1,000.00",Top up,"February 20, 2025",February 25 (https://app.notion.com/p/February-25-1680423c142680019b92eca39bed27e3?pvs=21),👍🏼เงิน top up_FEB25 (https://app.notion.com/p/top-up_FEB25-1680423c142680f49684cfe8b84d0c8f?pvs=21)
ซื้อ ปกส. นอกเวลา 8ชั่วโมง,Yes,"THB 2,000.00","THB 2,000.00",Top up,"February 15, 2025",February 25 (https://app.notion.com/p/February-25-1680423c142680019b92eca39bed27e3?pvs=21),👍🏼เงิน top up_FEB25 (https://app.notion.com/p/top-up_FEB25-1680423c142680f49684cfe8b84d0c8f?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"January 27, 2025",January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),⌚เงินรายชั่วโมง_JAN25 (https://app.notion.com/p/_JAN25-1680423c142680189065f9a8b08abb4f?pvs=21)
DF cost,Yes,THB 660.00,THB 760.00,On duty,"January 27, 2025",January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),🤷‍♂️เงิน DF_JAN25 (https://app.notion.com/p/DF_JAN25-1680423c14268074a6b9c3af2aed19aa?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"February 3, 2025",February 25 (https://app.notion.com/p/February-25-1680423c142680019b92eca39bed27e3?pvs=21),⌚เงินรายชั่วโมง_FEB25 (https://app.notion.com/p/_FEB25-1680423c142680deaaf7c37f83150445?pvs=21)
DF cost,Yes,THB 720.00,THB 750.00,On duty,"February 3, 2025",February 25 (https://app.notion.com/p/February-25-1680423c142680019b92eca39bed27e3?pvs=21),🤷‍♂️เงิน DF_FEB25 (https://app.notion.com/p/DF_FEB25-1680423c142680b49f30e32646409228?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"February 6, 2025",February 25 (https://app.notion.com/p/February-25-1680423c142680019b92eca39bed27e3?pvs=21),⌚เงินรายชั่วโมง_FEB25 (https://app.notion.com/p/_FEB25-1680423c142680deaaf7c37f83150445?pvs=21)
DF cost,Yes,THB 420.00,THB 420.00,On duty,"February 6, 2025",February 25 (https://app.notion.com/p/February-25-1680423c142680019b92eca39bed27e3?pvs=21),🤷‍♂️เงิน DF_FEB25 (https://app.notion.com/p/DF_FEB25-1680423c142680b49f30e32646409228?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"February 10, 2025",February 25 (https://app.notion.com/p/February-25-1680423c142680019b92eca39bed27e3?pvs=21),⌚เงินรายชั่วโมง_FEB25 (https://app.notion.com/p/_FEB25-1680423c142680deaaf7c37f83150445?pvs=21)
DF cost,Yes,THB 570.00,THB 570.00,On duty,"February 10, 2025",February 25 (https://app.notion.com/p/February-25-1680423c142680019b92eca39bed27e3?pvs=21),🤷‍♂️เงิน DF_FEB25 (https://app.notion.com/p/DF_FEB25-1680423c142680b49f30e32646409228?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"February 11, 2025",February 25 (https://app.notion.com/p/February-25-1680423c142680019b92eca39bed27e3?pvs=21),⌚เงินรายชั่วโมง_FEB25 (https://app.notion.com/p/_FEB25-1680423c142680deaaf7c37f83150445?pvs=21)
